time,zone2_TSKN,zone0_INT3400 Thermal,zone9_x86_pkg_temp,zone7_TCPU_PCI,zone5_HTPP,zone3_CHRG,zone1_TMEM,zone8_iwlwifi_1,zone6_TCPU,zone4_AMBF
1722352413.2969408,50,20000,48000,48000,24050,25050,32050,24000,36050,36050
1722352414.3110049,50,20000,51000,51000,24050,25050,32050,22000,47050,36050
1722352415.3248,50,20000,51000,51000,24050,24050,32050,22000,50050,36050
1722352416.338589,50,20000,59000,59000,24050,25050,31050,22000,51050,36050
1722352417.360333,50,20000,82000,82000,24050,25050,32050,22000,60050,37050
1722352418.3770032,50,20000,86000,86000,24050,24050,31050,22000,80050,38050
1722352419.3937383,50,20000,90000,90000,24050,24050,32050,22000,86050,40050
1722352420.4095302,50,20000,91000,91000,24050,25050,32050,22000,89050,41050
1722352421.4258263,50,20000,94000,94000,24050,24050,32050,22000,92050,42050
1722352422.4424672,50,20000,94000,94000,24050,24050,32050,22000,93050,43050
1722352423.4587586,50,20000,97000,97000,24050,24050,32050,22000,95050,44050
1722352424.475348,50,20000,100000,100000,24050,24050,31050,22000,97050,44050
1722352425.4903553,50,20000,67000,67000,24050,24050,32050,22000,99050,45050
1722352426.5077312,50,20000,65000,65000,24050,24050,32050,22000,65050,45050
1722352427.5240276,50,20000,63000,63000,24050,24050,32050,22000,63050,44050
1722352428.540254,50,20000,63000,63000,24050,24050,31050,22000,62050,44050
1722352429.5573025,50,20000,61000,61000,24050,24050,32050,22000,61050,44050
1722352430.5738902,50,20000,62000,62000,24050,24050,32050,22000,61050,43050
1722352431.5900128,50,20000,62000,62000,24050,24050,32050,22000,62050,43050
1722352432.6066427,50,20000,62000,62000,24050,24050,33050,22000,62050,43050
1722352433.6234658,50,20000,61000,61000,24050,24050,32050,22000,61050,43050
1722352434.6405778,50,20000,62000,62000,24050,24050,32050,21000,62050,43050
1722352435.6572723,50,20000,61000,61000,24050,24050,32050,22000,62050,43050
1722352436.673981,50,20000,62000,62000,24050,24050,32050,22000,62050,42050
1722352437.6907568,50,20000,62000,62000,24050,24050,31050,22000,62050,42050
1722352438.7074547,50,20000,63000,63000,24050,24050,32050,21000,62050,42050
1722352439.7239301,50,20000,63000,63000,24050,24050,31050,22000,62050,42050
1722352440.7403724,50,20000,63000,63000,24050,24050,31050,21000,62050,42050
1722352441.756285,50,20000,63000,63000,24050,24050,32050,22000,63050,42050
1722352442.7730346,50,20000,63000,63000,24050,24050,31050,22000,63050,42050
1722352443.789737,50,20000,63000,63000,24050,24050,31050,21000,63050,42050
1722352444.8062043,50,20000,63000,63000,24050,24050,31050,22000,63050,42050
1722352445.8226662,50,20000,63000,63000,24050,24050,31050,22000,63050,42050
1722352446.838619,50,20000,65000,65000,24050,24050,32050,22000,63050,42050
1722352447.8553798,50,20000,65000,65000,24050,24050,32050,21000,64050,42050
1722352448.8718128,50,20000,65000,65000,24050,24050,31050,22000,64050,42050
1722352449.8888586,50,20000,65000,65000,24050,24050,31050,21000,64050,43050
1722352450.905578,50,20000,65000,65000,24050,24050,32050,21000,64050,43050
1722352451.9220452,50,20000,65000,65000,24050,24050,32050,21000,64050,43050
1722352452.9388807,50,20000,65000,65000,24050,24050,31050,22000,65050,43050
1722352453.9553819,50,20000,65000,65000,24050,24050,31050,21000,65050,43050
1722352454.9719205,50,20000,65000,65000,24050,24050,31050,21000,65050,43050
1722352455.988264,50,20000,65000,65000,24050,24050,32050,21000,65050,43050
1722352457.0044556,50,20000,65000,65000,24050,24050,31050,21000,65050,43050
1722352458.0212188,50,20000,66000,66000,24050,24050,31050,21000,65050,43050
1722352459.0374556,50,20000,66000,66000,24050,24050,31050,21000,66050,43050
1722352460.053875,50,20000,66000,66000,24050,24050,31050,21000,66050,43050
1722352461.0705414,50,20000,66000,66000,24050,24050,31050,21000,66050,43050
1722352462.086912,50,20000,67000,67000,24050,24050,31050,21000,66050,43050
1722352463.1035788,50,20000,66000,66000,24050,24050,31050,21000,66050,43050
1722352464.1194797,50,20000,66000,66000,24050,24050,31050,21000,66050,43050
1722352465.136008,50,20000,67000,67000,24050,24050,31050,21000,66050,44050
1722352466.1525571,50,20000,67000,67000,24050,24050,31050,21000,67050,44050
1722352467.1691692,50,20000,67000,67000,24050,24050,32050,21000,67050,44050
1722352468.1859329,50,20000,67000,67000,24050,24050,31050,21000,67050,44050
1722352469.2021155,50,20000,67000,67000,24050,24050,31050,21000,66050,44050
1722352470.2185905,50,20000,67000,67000,24050,24050,31050,21000,67050,44050
1722352471.2351727,50,20000,69000,69000,24050,24050,31050,21000,67050,44050
1722352472.2517276,50,20000,68000,68000,24050,24050,31050,21000,67050,44050
1722352473.26862,50,20000,67000,67000,24050,24050,31050,21000,67050,44050
1722352474.2851584,50,20000,67000,67000,24050,24050,31050,21000,67050,44050
1722352475.301821,50,20000,67000,67000,24050,24050,31050,21000,67050,44050
1722352476.318387,50,20000,68000,68000,24050,24050,31050,21000,67050,44050
1722352477.3351932,50,20000,67000,67000,24050,24050,31050,21000,68050,44050
1722352478.351721,50,20000,69000,69000,24050,24050,31050,21000,68050,44050
1722352479.368598,50,20000,69000,69000,24050,24050,31050,21000,68050,44050
1722352480.3852189,50,20000,69000,69000,24050,24050,31050,21000,68050,44050
1722352481.4020643,50,20000,69000,69000,24050,24050,31050,21000,68050,45050
1722352482.4184203,50,20000,69000,69000,24050,24050,32050,21000,68050,45050
1722352483.435585,50,20000,69000,69000,24050,24050,31050,21000,68050,45050
1722352484.4521458,50,20000,68000,68000,24050,24050,32050,21000,68050,45050
1722352485.468442,50,20000,69000,69000,24050,24050,31050,21000,68050,45050
1722352486.4848633,50,20000,70000,70000,24050,24050,31050,21000,69050,45050
1722352487.501608,50,20000,69000,69000,24050,24050,32050,21000,69050,45050
1722352488.5182567,50,20000,69000,69000,24050,24050,31050,21000,69050,45050
1722352489.5344589,50,20000,70000,70000,24050,24050,32050,21000,69050,45050
1722352490.5510116,50,20000,69000,69000,24050,24050,31050,21000,69050,45050
1722352491.5674572,50,20000,69000,69000,24050,24050,31050,21000,69050,45050
1722352492.5844548,50,20000,70000,70000,24050,24050,32050,21000,69050,45050
