time,intel-rapl-mmio:0,intel-rapl:0
1722357576.2605896,172033403526,172033403526
1722357577.2749915,172067849605,172067849605
1722357578.2895803,172102339873,172102339873
1722357579.306533,172191568709,172191568709
1722357580.3214228,172389652004,172389652004
1722357581.3363078,172611904914,172611904914
1722357582.3518026,172832167045,172832167045
1722357583.3669443,173045837091,173045837091
1722357584.3823645,173250810566,173250810566
1722357585.3967187,173452032768,173452032768
1722357586.4114022,173647575053,173647575053
1722357587.4261918,173839672339,173839672339
1722357588.4410954,174026616868,174026616868
1722357589.4573874,174144113882,174144113882
1722357590.4739387,174209544806,174209544806
1722357591.4893534,174275074972,174275074972
1722357592.5048275,174340599890,174340599890
1722357593.5206397,174406297293,174406297293
1722357594.5368826,174472062261,174472062261
1722357595.5530655,174537700826,174537700826
1722357596.5682738,174603371251,174603371251
1722357597.583788,174669162709,174669162709
1722357598.5999987,174734899662,174734899662
1722357599.6153328,174800658222,174800658222
1722357600.6315677,174866419528,174866419528
1722357601.6475906,174932211901,174932211901
1722357602.66347,174998046815,174998046815
1722357603.6798282,175063888444,175063888444
1722357604.6950963,175129708527,175129708527
1722357605.71058,175195501693,175195592330
1722357606.7267978,175261397154,175261397154
1722357607.7428102,175327159437,175327159437
1722357608.758822,175392996427,175392996427
1722357609.7748332,175458947308,175458947308
1722357610.790924,175524805416,175524805416
1722357611.806983,175590606211,175590606211
1722357612.8231804,175656493738,175656493738
1722357613.8392916,175722429238,175722429238
1722357614.8546944,175788158684,175788158684
1722357615.8704236,175853957466,175853957466
1722357616.886597,175919801109,175919801109
1722357617.9021528,175985752417,175985752417
1722357618.9176416,176051624746,176051624746
1722357619.933711,176117492985,176117492985
1722357620.9494257,176183370807,176183370807
1722357621.9655874,176249362521,176249362521
1722357622.981375,176315219042,176315219042
1722357623.9973996,176381169739,176381169739
1722357625.013495,176447029373,176447029373
1722357626.0294964,176512979705,176512979705
1722357627.0463932,176578839705,176578839705
1722357628.0619104,176644738462,176644738462
1722357629.0783303,176710593640,176710593640
1722357630.0946743,176776461452,176776461452
1722357631.110844,176842340617,176842340617
1722357632.1267223,176908333002,176908333002
1722357633.1427655,176974223214,176974223214
1722357634.1590114,177040099815,177040099815
1722357635.1749375,177106104651,177106104651
1722357636.1910415,177171883169,177171883169
1722357637.2070177,177237796636,177237796636
1722357638.2233076,177303662800,177303662800
1722357639.2394288,177369466892,177369529941
1722357640.255432,177435353625,177435353625
1722357641.2722764,177501397768,177501397768
1722357642.288435,177567326737,177567326737
1722357643.3045933,177633297882,177633297882
1722357644.320991,177699297102,177699297102
1722357645.3370314,177765261411,177765261411
1722357646.3532372,177831172619,177831172619
1722357647.3693206,177897103542,177897103542
1722357648.3846846,177962978068,177962978068
1722357649.4013197,178028881097,178028881097
1722357650.4172664,178094786324,178094786324
1722357651.4330606,178160711754,178160711754
1722357652.4492733,178226665930,178226665930
1722357653.4653058,178292578542,178292578542
1722357654.481412,178358487981,178358487981
1722357655.4973605,178424377094,178424377094
1722357656.513426,178490256198,178490256198
1722357657.5293012,178556136645,178556136645
1722357658.5454097,178622018922,178622018922
1722357659.5610638,178687861710,178687861710
1722357660.5772588,178753753448,178753753448
1722357661.5933166,178819542403,178819542403
1722357662.609434,178885458922,178885458922
1722357663.625361,178951324781,178951324781
