time,zone2_TSKN,zone0_INT3400 Thermal,zone9_x86_pkg_temp,zone7_TCPU_PCI,zone5_HTPP,zone3_CHRG,zone1_TMEM,zone8_iwlwifi_1,zone6_TCPU,zone4_AMBF
1722376540.8153706,50,20000,58000,58000,26050,26050,33050,27000,38050,34050
1722376541.830326,50,20000,60000,60000,26050,26050,33050,24000,56050,34050
1722376542.8451517,50,20000,61000,61000,26050,26050,33050,23000,60050,34050
1722376543.8599494,50,20000,61000,61000,26050,26050,33050,24000,60050,35050
1722376544.8744545,50,20000,61000,61000,26050,26050,33050,24000,60050,35050
1722376545.8893547,50,20000,60000,60000,26050,26050,33050,24000,60050,35050
1722376546.9042382,50,20000,61000,61000,26050,26050,33050,24000,61050,35050
1722376547.9190028,50,20000,61000,61000,26050,26050,33050,24000,61050,36050
1722376548.9336574,50,20000,60000,60000,26050,26050,33050,24000,61050,36050
1722376549.9486854,50,20000,61000,61000,26050,26050,33050,23000,62050,36050
1722376550.963384,50,20000,62000,62000,26050,26050,33050,24000,61050,36050
1722376551.9783516,50,20000,62000,62000,26050,26050,33050,24000,62050,36050
1722376552.9929852,50,20000,62000,62000,26050,26050,33050,24000,62050,36050
1722376554.0077093,50,20000,63000,63000,26050,26050,33050,23000,62050,36050
1722376555.0222473,50,20000,62000,62000,26050,26050,33050,23000,62050,36050
1722376556.037147,50,20000,62000,62000,26050,26050,33050,24000,62050,37050
1722376557.0517933,50,20000,62000,62000,26050,26050,33050,24000,63050,37050
1722376558.0665686,50,20000,63000,63000,26050,26050,33050,24000,63050,37050
1722376559.0814455,50,20000,63000,63000,26050,26050,33050,23000,63050,37050
1722376560.09603,50,20000,65000,65000,26050,26050,33050,23000,64050,37050
1722376561.1106606,50,20000,63000,63000,26050,26050,33050,23000,64050,37050
1722376562.1256728,50,20000,63000,63000,26050,26050,33050,23000,64050,37050
1722376563.140173,50,20000,66000,66000,26050,26050,34050,23000,64050,37050
1722376564.1551156,50,20000,66000,66000,26050,26050,33050,23000,64050,37050
1722376565.1693804,50,20000,65000,65000,26050,26050,33050,23000,65050,37050
1722376566.184207,50,20000,66000,66000,26050,26050,33050,24000,65050,37050
1722376567.198846,50,20000,66000,66000,26050,26050,32050,23000,65050,37050
1722376568.2133641,50,20000,67000,67000,26050,26050,33050,23000,65050,38050
1722376569.2279468,50,20000,65000,65000,26050,26050,33050,24000,65050,38050
1722376570.2425659,50,20000,65000,65000,26050,26050,33050,23000,65050,38050
1722376571.2572217,50,20000,67000,67000,26050,26050,33050,23000,66050,38050
1722376572.2719963,50,20000,66000,66000,26050,26050,33050,23000,66050,38050
1722376573.2863796,50,20000,66000,66000,26050,26050,33050,23000,66050,38050
1722376574.3012373,50,20000,66000,66000,26050,26050,32050,23000,66050,38050
1722376575.3165643,50,20000,67000,67000,26050,26050,33050,23000,66050,38050
1722376576.3313255,50,20000,67000,67000,26050,26050,33050,23000,66050,38050
1722376577.3459017,50,20000,67000,67000,26050,26050,33050,23000,66050,38050
1722376578.3608758,50,20000,67000,67000,26050,26050,32050,23000,67050,38050
1722376579.3757093,50,20000,66000,66000,26050,26050,33050,23000,66050,38050
1722376580.3908803,50,20000,67000,67000,26050,26050,33050,23000,67050,38050
1722376581.4051635,50,20000,68000,67000,26050,26050,33050,23000,67050,38050
1722376582.4201305,50,20000,67000,67000,26050,26050,33050,23000,67050,38050
1722376583.4348123,50,20000,68000,68000,26050,26050,33050,23000,67050,38050
1722376584.4494832,50,20000,67000,67000,26050,26050,33050,23000,67050,38050
1722376585.463798,50,20000,70000,68000,26050,26050,33050,23000,68050,38050
1722376586.4783988,50,20000,67000,67000,26050,26050,33050,23000,68050,39050
1722376587.4929144,50,20000,70000,70000,26050,26050,33050,23000,68050,39050
1722376588.508036,50,20000,70000,70000,26050,26050,33050,23000,68050,39050
