time,zone2_TSKN,zone0_INT3400 Thermal,zone9_x86_pkg_temp,zone7_TCPU_PCI,zone5_HTPP,zone3_CHRG,zone1_TMEM,zone8_iwlwifi_1,zone6_TCPU,zone4_AMBF
1722351906.1172266,50,20000,51000,51000,24050,25050,32050,25000,36050,37050
1722351907.1316435,50,20000,51000,51000,24050,25050,32050,22000,49050,37050
1722351908.1455622,50,20000,52000,52000,24050,25050,32050,22000,51050,37050
1722351909.159037,50,20000,61000,61000,24050,25050,32050,22000,51050,38050
1722351910.17913,50,20000,82000,82000,24050,25050,32050,22000,65050,38050
1722351911.1952317,50,20000,87000,87000,24050,25050,32050,22000,82050,40050
1722351912.21155,50,20000,92000,92000,24050,25050,32050,22000,88050,41050
1722351913.227032,50,20000,92000,92000,24050,25050,32050,22000,91050,42050
1722351914.2428677,50,20000,96000,96000,24050,24050,32050,22000,93050,43050
1722351915.2590406,50,20000,97000,97000,24050,24050,32050,22000,95050,44050
1722351916.2748754,50,20000,99000,99000,24050,24050,32050,22000,97050,45050
1722351917.2913542,50,20000,100000,100000,24050,24050,32050,22000,99050,46050
1722351918.3076277,50,20000,69000,69000,24050,25050,32050,22000,99050,46050
1722351919.3244772,50,20000,66000,66000,24050,25050,32050,22000,70050,46050
1722351920.3413615,50,20000,63000,63000,24050,24050,32050,22000,65050,45050
1722351921.3579907,50,20000,63000,63000,24050,24050,32050,22000,63050,45050
1722351922.3744302,50,20000,63000,63000,24050,24050,32050,22000,63050,45050
1722351923.3908918,50,20000,63000,63000,24050,24050,32050,22000,62050,44050
1722351924.4073484,50,20000,63000,63000,24050,25050,32050,22000,62050,44050
1722351925.423939,50,20000,62000,62000,24050,25050,32050,22000,62050,44050
1722351926.4408429,50,20000,63000,63000,24050,25050,32050,22000,62050,44050
1722351927.4584274,50,20000,63000,63000,24050,24050,32050,22000,63050,44050
1722351928.4752645,50,20000,62000,62000,24050,25050,32050,22000,63050,44050
1722351929.4920223,50,20000,63000,63000,24050,24050,32050,22000,63050,43050
1722351930.5088456,50,20000,65000,65000,24050,24050,31050,22000,63050,43050
1722351931.5254743,50,20000,63000,63000,24050,24050,32050,22000,63050,43050
1722351932.5424566,50,20000,63000,63000,24050,24050,32050,24000,63050,43050
1722351933.559846,50,20000,63000,63000,24050,24050,32050,24000,63050,43050
1722351934.5763378,50,20000,63000,63000,24050,24050,32050,22000,63050,43050
1722351935.5928452,50,20000,65000,65000,24050,24050,32050,22000,64050,43050
1722351936.6095636,50,20000,63000,63000,24050,24050,32050,22000,64050,43050
