time,intel-rapl-mmio:0,intel-rapl:0
1722369094.9653273,46455635528,46455635528
1722369095.9781904,46494327873,46494327873
1722369096.991005,46533067459,46533067459
1722369098.0043602,46572088538,46572088538
1722369099.017969,46610937560,46610937560
1722369100.031049,46649803732,46649803732
1722369101.04461,46688575972,46688575972
1722369102.0579386,46727405035,46727405035
1722369103.0711904,46766198271,46766198271
1722369104.0853245,46805509633,46805509633
1722369105.09819,46844929148,46844929148
1722369106.1115098,46884129427,46884129427
1722369107.1247678,46923360771,46923360771
1722369108.1374955,46962419448,46962419448
1722369109.1507542,47001330420,47001330420
1722369110.163892,47040309080,47040309080
1722369111.1771276,47079618001,47079618001
1722369112.1905081,47118952983,47118952983
1722369113.2034547,47158538880,47158538880
1722369114.2166984,47197967856,47197967856
1722369115.230045,47237710431,47237710431
1722369116.2436454,47277700990,47277700990
1722369117.2573233,47317650411,47317650411
1722369118.2708445,47357747599,47357747599
1722369119.283671,47397183228,47397183228
1722369120.2970164,47436837179,47436837179
1722369121.3103514,47476597148,47476597148
1722369122.3231175,47516390137,47516390137
1722369123.3362708,47556271871,47556271871
1722369124.3500364,47595857158,47595857158
1722369125.3634005,47635603699,47635603699
1722369126.3767614,47675175436,47675175436
1722369127.3897605,47715030925,47715030925
1722369128.4026432,47754594788,47754594788
1722369129.416129,47794545065,47794592184
1722369130.4295273,47834306254,47834306254
1722369131.4424329,47873989075,47873989075
1722369132.4554818,47914049764,47914049764
1722369133.4683428,47954065530,47954065530
1722369134.4816954,47993941466,47993941466
1722369135.495898,48033672443,48033672443
1722369136.5107942,48073723488,48073723488
1722369137.5258045,48113788937,48113788937
1722369138.5406444,48153881547,48153881547
1722369139.555615,48193999242,48193999242
1722369140.5704439,48234172052,48234172052
1722369141.5853035,48274217238,48274217238
1722369142.5999491,48314641145,48314641145
1722369143.6146302,48355011037,48355011037
1722369144.6294353,48395543282,48395543282
1722369145.64387,48435901638,48435901638
1722369146.6588314,48476164535,48476164535
1722369147.6736224,48516746646,48516746646
1722369148.6883376,48557312033,48557312033
1722369149.7032595,48597981301,48597981301
1722369150.717368,48638534969,48638534969
1722369151.732439,48679272719,48679289748
1722369152.747332,48719720186,48719720186
1722369153.7624743,48760479848,48760479848
1722369154.7774634,48801159248,48801159248
1722369155.792065,48841915186,48841915186
1722369156.8069572,48882697247,48882697247
1722369157.8216908,48923471069,48923471069
1722369158.8358886,48964169146,48964169146
1722369159.8505585,49005285923,49005285923
1722369160.8652663,49046411977,49046411977
1722369161.8802,49087503180,49087503180
1722369162.8948169,49128665123,49128665123
1722369163.9097037,49169932718,49169932718
1722369164.9242394,49210930355,49210930355
1722369165.9381633,49251700026,49251700026
1722369166.9521716,49292459687,49292459687
1722369167.966239,49333308154,49333308154
1722369168.980714,49374279058,49374279058
1722369169.9954894,49415543539,49415584982
1722369171.0096252,49456762611,49456762611
1722369172.0242946,49497647333,49497647333
1722369173.0391316,49538482678,49538482678
1722369174.053475,49579285857,49579285857
1722369175.0669832,49620173936,49620173936
1722369176.0810256,49661212283,49661212283
1722369177.0952256,49702608906,49702608906
1722369178.1097708,49744124119,49744124119
1722369179.1242602,49785107962,49785107962
1722369180.139437,49826112923,49826112923
1722369181.154536,49867154627,49867154627
1722369182.1688502,49908135418,49908135418
1722369183.1818986,49949195921,49949195921
1722369184.195941,49990203262,49990203262
1722369185.2105727,50031139070,50031139070
1722369186.2247128,50072152210,50072152210
1722369187.2393966,50113043707,50113043707
1722369188.2539485,50154161583,50154161583
1722369189.2687125,50195106119,50195106119
1722369190.283622,50236138240,50236138240
1722369191.2986865,50277206556,50277206556
1722369192.3128824,50318185455,50318185455
1722369193.3276765,50359247361,50359247361
1722369194.3420906,50400266421,50400266421
1722369195.356755,50441217671,50441217671
1722369196.3715835,50482209754,50482209754
1722369197.3864942,50523247125,50523247125
1722369198.4011643,50564300547,50564300547
1722369199.4158123,50605297818,50605297818
1722369200.4301343,50646342696,50646342696
1722369201.4448473,50687402405,50687402405
1722369202.4595606,50728404253,50728404253
1722369203.4742787,50769460667,50769460667
1722369204.4888377,50810464895,50810464895
1722369205.503945,50851456550,50851456550
1722369206.517639,50892389673,50892389673
1722369207.5322406,50933497661,50933497661
1722369208.5466225,50974585996,50974585996
1722369209.5608225,51015613052,51015613052
1722369210.5753016,51056611726,51056611726
1722369211.589584,51097584521,51097584521
1722369212.6041498,51138560491,51138560491
1722369213.6184936,51179637534,51179637534
1722369214.6331127,51220696816,51220696816
1722369215.6481714,51261650325,51261650325
1722369216.6626482,51302799694,51302799694
1722369217.67665,51343858427,51343858427
1722369218.691591,51384987411,51384987411
1722369219.7068682,51426093019,51426093019
1722369220.720414,51470214122,51470214122
1722369221.7355778,51681324482,51681324482
1722369222.748737,51869978540,51869978540
1722369223.761191,52041656079,52041656079
1722369224.7761412,52248179537,52248179537
1722369225.7895262,52425512030,52425512030
1722369226.8022983,52505430527,52505430527
1722369227.8185341,52572508114,52572508114
1722369228.8346145,52638129345,52638129345
1722369229.8489041,52702119049,52702119049
1722369230.8625124,52767694015,52767694015
1722369231.876487,52832794923,52832794923
1722369232.8927495,52900485668,52900485668
1722369233.9082744,52965694912,52965694912
1722369234.9224727,53030053268,53030053268
1722369235.9386468,53097643366,53097643366
1722369236.9548855,53163423837,53163423837
1722369237.970596,53228235561,53228235561
1722369238.9844613,53292648421,53292648421
1722369240.0002718,53360945976,53360945976
1722369241.0162213,53426568916,53426568916
1722369242.0309072,53491447900,53491447900
1722369243.0471785,53558572057,53558572057
1722369244.0633507,53624448902,53624448902
1722369245.0778673,53689061713,53689061713
1722369246.0915697,53753981835,53753981835
1722369247.1075053,53821954805,53821954805
1722369248.1227791,53886569508,53886569508
1722369249.1363,53951162971,53951162971
1722369250.1522694,54019455459,54019455459
1722369251.1685011,54085441008,54085441008
1722369252.1841745,54150510727,54150510727
1722369253.2003875,54217234494,54217234494
1722369254.216655,54283288829,54283288829
1722369255.2317357,54348137174,54348137174
1722369256.246008,54411578174,54411578174
1722369257.2618244,54480935418,54480935418
1722369258.2767384,54546733834,54546733834
1722369259.2906947,54611288112,54611288112
1722369260.3042843,54677126810,54677126810
1722369261.3202882,54744567800,54744567800
1722369262.3363628,54810472355,54810472355
1722369263.3506758,54875018943,54875018943
1722369264.3644624,54940841101,54940841101
1722369265.3804326,55008072130,55008072130
1722369266.3964803,55073938233,55073938233
1722369267.4107375,55138439472,55138439472
1722369268.4240842,55204258212,55204258212
1722369269.4400325,55271562606,55271562606
1722369270.456384,55337600705,55337600705
1722369271.4705927,55402017777,55402017777
1722369272.484512,55467821014,55467821014
1722369273.5006871,55535237773,55535237773
1722369274.5158482,55600926447,55600926447
1722369275.5301297,55665445020,55665445020
1722369276.5439427,55731284268,55731284268
1722369277.5601594,55798711769,55798711769
1722369278.5745032,55863580560,55863580560
1722369279.588109,55929036386,55929036386
1722369280.6027315,55995016259,55995016259
1722369281.6188881,56062332066,56062332066
1722369282.6338913,56127068533,56127068533
1722369283.6476595,56192402350,56192402350
1722369284.6630661,56259449176,56259449176
1722369285.6792967,56326052948,56326052948
1722369286.6933036,56390397144,56390397144
1722369287.7069018,56456234438,56456234438
1722369288.7229419,56523737867,56523737867
1722369289.7391555,56589646267,56589646267
1722369290.753134,56654296370,56654296370
1722369291.7668288,56720141600,56720141600
1722369292.7826908,56787514230,56787514230
1722369293.7988641,56853563011,56853563011
1722369294.8129904,56917860332,56917860332
1722369295.8265054,56983691889,56983691889
1722369296.8425944,57051096868,57051096868
1722369297.8585887,57116922017,57116922017
1722369298.8721526,57181322670,57181322670
1722369299.8852935,57247110099,57247110099
1722369300.9011955,57314503665,57314503665
1722369301.9156988,57379205342,57379205342
1722369302.9293945,57444750768,57444750768
1722369303.943036,57510075369,57510075369
1722369304.9592884,57578053344,57578053344
1722369305.9735,57642498064,57642498064
1722369306.9874516,57708375520,57708375520
1722369308.0035627,57775801434,57775801434
1722369309.0196514,57841706478,57841706478
1722369310.033709,57905994521,57905994521
1722369311.0475297,57971849821,57971849821
1722369312.0635757,58039156656,58039156656
1722369313.0798318,58105371940,58105371940
1722369314.0942898,58169752513,58169752513
1722369315.1085591,58235563990,58235563990
1722369316.124508,58302949621,58302949621
1722369317.1391325,58367377800,58367377800
1722369318.1527448,58433410895,58433410895
1722369319.1686482,58500745257,58500745257
1722369320.1848786,58566747773,58566747773
1722369321.1990068,58631242909,58631242909
1722369322.2128422,58697116153,58697116153
1722369323.2287374,58764499892,58764499892
1722369324.2449157,58830493192,58830493192
1722369325.258903,58894824631,58894824631
1722369326.27295,58960097596,58960097596
1722369327.2890804,59028065013,59028065013
1722369328.3031888,59092260588,59092260588
1722369329.3168147,59158179975,59158179975
1722369330.3328507,59225547295,59225547295
1722369331.349031,59291500496,59291500496
1722369332.3634095,59355905116,59355905116
1722369333.3779855,59421839334,59421839334
1722369334.3934479,59489180715,59489180715
1722369335.4073658,59553461617,59553461617
1722369336.4213514,59619320579,59619320579
1722369337.4377956,59686741549,59686741549
1722369338.453665,59752655504,59752655504
1722369339.467229,59817121037,59817121037
1722369340.4810452,59883004597,59883004597
1722369341.4972694,59950153350,59950153350
1722369342.5110323,60014638110,60014638110
1722369343.525245,60080505739,60080505739
1722369344.5414612,60147978650,60147978650
1722369345.5573726,60213947414,60213947414
1722369346.5713966,60278315840,60278315840
1722369347.5863037,60344257505,60344257505
1722369348.6028047,60411736947,60411736947
1722369349.617003,60476069301,60476069301
1722369350.6306977,60541875468,60541875468
1722369351.6471992,60609422354,60609422354
1722369352.6638057,60675318730,60675318730
1722369353.678082,60739684899,60739684899
1722369354.692373,60806266515,60806266515
1722369355.708812,60872955859,60872955859
1722369356.7229335,60937264654,60937264654
1722369357.7368336,61003190022,61003190022
1722369358.7531464,61070617157,61070617157
1722369359.7673402,61135008594,61135008594
1722369360.7812133,61200830935,61200830935
1722369361.7972488,61268230848,61268230848
1722369362.812896,61334242398,61334242398
1722369363.8268974,61398565963,61398565963
1722369364.8409953,61463961487,61463961487
1722369365.857123,61532000314,61532000314
1722369366.8711653,61596276944,61596276944
1722369367.8850343,61662307415,61662307415
1722369368.9008808,61729606620,61729606620
1722369369.9150207,61793956431,61793956431
1722369370.9285781,61859962853,61859962853
1722369371.9443445,61927472446,61927472446
1722369372.960432,61993414111,61993414111
1722369373.9747756,62057758001,62057758001
1722369374.9904552,62125239579,62125239579
1722369376.0062807,62191246490,62191246490
1722369377.0208204,62255594958,62255594958
1722369378.0350347,62321083804,62321083804
1722369379.0510364,62388830457,62388830457
1722369380.0653377,62453170380,62453170380
1722369381.0793297,62519022812,62519022812
1722369382.095183,62586425105,62586498957
1722369383.1091058,62650904310,62650904310
1722369384.1229234,62716793057,62716793057
1722369385.1387854,62784204201,62784204201
1722369386.1531372,62848629329,62848629329
1722369387.1669567,62914372263,62914372263
1722369388.1831172,62981854391,62981854391
1722369389.1977608,63047329443,63047329443
1722369390.2116883,63112013542,63112013542
1722369391.2273304,63179395816,63179395816
1722369392.2433107,63245320208,63245320208
1722369393.2578266,63309651403,63309651403
1722369394.2736132,63377083664,63377083664
1722369395.2898302,63443134277,63443134277
1722369396.303809,63507486102,63507486102
1722369397.3195717,63574745024,63574745024
1722369398.3354907,63640885113,63640885113
1722369399.3496346,63705223938,63705223938
1722369400.3652432,63771510816,63771510816
1722369401.38132,63838664026,63838732507
1722369402.3953323,63903065655,63903065655
1722369403.4090161,63968444821,63968444821
1722369404.4249477,64036513922,64036513922
1722369405.4390109,64100799768,64100799768
1722369406.4529996,64166135111,64166135111
1722369407.4689424,64234136524,64234136524
1722369408.4834409,64298537909,64298537909
1722369409.498671,64363987144,64363987144
1722369410.5147812,64431898164,64431898164
1722369411.5288177,64496213002,64496213002
1722369412.5438087,64562798647,64562798647
1722369413.5596948,64629508009,64629508009
1722369414.5739946,64693954195,64693954195
1722369415.5895743,64761252850,64761252850
1722369416.6055994,64827370845,64827370845
1722369417.6198728,64891705702,64891705702
1722369418.6356473,64959014978,64959014978
1722369419.651981,65024927713,65025034035
1722369420.6664243,65089339291,65089339291
1722369421.6822746,65156763801,65156763801
1722369422.6969235,65221808983,65221808983
1722369423.710702,65286991190,65286991190
1722369424.7266207,65354405079,65354405079
1722369425.7409444,65418843208,65418843208
1722369426.7547271,65484682151,65484682151
1722369427.7705252,65552210298,65552210298
1722369428.784705,65616525929,65616525929
1722369429.798449,65682422306,65682492435
1722369430.8144448,65749779678,65749779678
1722369431.8286211,65814045810,65814045810
1722369432.8425968,65879434985,65879434985
1722369433.858408,65947302671,65947302671
1722369434.8731182,66011671463,66011671463
1722369435.8896174,66079102992,66079102992
1722369436.9053833,66144948954,66144948954
1722369437.9195344,66209478940,66209478940
1722369438.936007,66276901436,66276901436
1722369439.950233,66341303920,66341303920
1722369440.963214,66407064921,66407064921
1722369441.9794233,66474531729,66474531729
1722369442.9937816,66538875985,66538875985
1722369444.0086813,66605228721,66605228721
1722369445.0246809,66672254306,66672254306
1722369446.0391252,66736669546,66736669546
1722369447.0554214,66804060792,66804060792
1722369448.0696402,66868438008,66868438008
1722369449.0834022,66934173191,66934173191
1722369450.099565,67001551131,67001576217
1722369451.1139047,67065920046,67065920046
1722369452.1291873,67132664016,67132664016
1722369453.1455705,67199201932,67199201932
1722369454.1592135,67263517929,67263517929
1722369455.1755261,67330933894,67330933894
1722369456.1896648,67395367872,67395367872
1722369457.2029743,67461160306,67461160306
1722369458.2185843,67528472756,67528472756
1722369459.2328057,67592824337,67592824337
1722369460.248984,67660186225,67660186225
1722369461.2633016,67724616907,67724616907
1722369462.2769215,67790381570,67790381570
1722369463.2930233,67857815724,67857815724
1722369464.307218,67922104927,67922104927
1722369465.3234818,67989607196,67989607196
1722369466.337938,68054182958,68054182958
1722369467.3510838,68119873830,68119873830
1722369468.367354,68187286072,68187286072
1722369469.3817916,68251694904,68251694904
1722369470.397689,68319078764,68319078764
1722369471.4113333,68383508531,68383508531
1722369472.4251544,68449206361,68449268495
1722369473.441499,68516638500,68516638500
1722369474.4551,68580989837,68580989837
1722369475.4714115,68648393717,68648393717
1722369476.4857368,68712931516,68712931516
1722369477.5001204,68778945751,68778945751
1722369478.5165186,68846399253,68846399253
1722369479.5307832,68910835550,68910835550
1722369480.5468814,68978289540,68978289540
1722369481.561284,69042647835,69042647835
1722369482.5776205,69110031329,69110031329
1722369483.591515,69174661596,69174661596
1722369484.6053495,69240312063,69240312063
1722369485.621452,69307665345,69307665345
1722369486.635457,69372003925,69372003925
1722369487.6519718,69439513091,69439513091
1722369488.6661446,69504045213,69504045213
1722369489.681632,69571391354,69571391354
1722369490.6952617,69635842972,69635842972
1722369491.7090304,69701618865,69701618865
1722369492.7252035,69769166239,69769166239
1722369493.7394161,69833532712,69833532712
1722369494.7556987,69901045051,69901045051
1722369495.7698214,69965319240,69965319240
1722369496.785555,70032665625,70032665625
1722369497.7994633,70096944452,70096944452
1722369498.8155494,70164243108,70164243108
1722369499.8293605,70228895775,70228895775
1722369500.8434076,70294608985,70294608985
1722369501.8596632,70361972399,70361972399
1722369502.874364,70426411626,70426411626
1722369503.8896239,70493764542,70493764542
1722369504.9034808,70558082859,70558082859
1722369505.9194689,70625598067,70625598067
1722369506.9335163,70689919131,70689919131
1722369507.9499314,70757528699,70757528699
1722369508.9635632,70821928558,70821928558
1722369509.979647,70889262981,70889262981
1722369510.9941359,70953641295,70953713438
1722369512.0095475,71020992074,71020992074
1722369513.0231392,71085378873,71085378873
1722369514.0391915,71152350564,71152440407
1722369515.0535862,71217206782,71217206782
1722369516.0673962,71282433666,71282433666
1722369517.0821216,71348948266,71348948266
1722369518.0955548,71414243753,71414243753
1722369519.110072,71481001456,71481001456
1722369520.1236825,71546262763,71546262763
1722369521.1382833,71612882344,71612882344
1722369522.152058,71678071386,71678071386
1722369523.1666763,71744528674,71744528674
1722369524.181227,71809683049,71809683049
1722369525.195669,71876102129,71876102129
1722369526.209603,71941057895,71941057895
1722369527.2232225,72007412584,72007412584
1722369528.2385504,72072830446,72072830446
1722369529.253083,72139016617,72139016617
1722369530.2690752,72206012051,72206012051
1722369531.283089,72270681380,72270681380
1722369532.2992215,72338299310,72338299310
1722369533.3133576,72402702160,72402702160
1722369534.329702,72470206809,72470206809
1722369535.3430474,72534513468,72534513468
1722369536.3593786,72602086293,72602086293
1722369537.373698,72666459603,72666459603
1722369538.3897812,72733829486,72733829486
1722369539.4035027,72798129981,72798129981
1722369540.4198751,72865601122,72865601122
1722369541.4345129,72930036565,72930036565
1722369542.448781,72996106403,72996106403
1722369543.4649024,73063267852,73063267852
