time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1722360320.7139256,801.021,4889.834,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,4100.023,4099.733,800.000,4100.501,800.000,800.000,800.000,800.000
1722360321.7299159,800.753,5059.990,800.000,800.000,800.000,800.000,800.000,800.000,1708.788,800.000,800.000,800.000,800.000,800.000,800.000,800.000,4100.012,4099.969,800.000,4099.603,800.000,800.000,800.000,800.000
1722360322.7460282,799.750,5064.414,800.000,800.000,800.000,800.000,800.000,800.000,1909.450,800.000,800.000,800.000,800.000,800.000,800.000,800.000,4099.945,4099.079,800.000,4103.531,800.000,800.000,800.000,800.000
1722360323.761624,800.496,5063.835,800.000,800.000,800.000,800.000,800.000,800.000,3333.706,800.000,800.000,800.000,1657.343,800.000,800.000,800.000,4099.978,4099.819,800.000,4112.987,800.000,800.000,800.000,800.000
1722360324.7772162,800.316,5036.421,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,4099.987,4100.492,800.000,4100.561,800.000,800.000,800.000,800.000
1722360325.7919412,4759.850,5062.734,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,4100.021,4099.986,4099.990,4100.030,4100.071,4100.001,4099.992,4099.979
1722360326.8061464,4841.413,5094.276,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3971.803,3971.776,3971.712,3971.766,3959.618,3959.731,3959.743,3959.713
1722360327.8197048,4792.508,5096.512,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3950.294,3950.272,3950.237,3950.301,3950.459,3950.499,3950.408,3950.446
1722360328.833745,4751.530,4849.126,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3951.158,3951.193,3951.153,3951.316,3949.993,3949.868,3949.987,3949.899
1722360329.848032,4737.439,5095.928,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3950.340,3950.303,3950.237,3950.308,3950.951,3951.040,3951.048,3950.959
1722360330.8622034,4816.878,5095.411,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3951.594,3951.572,3951.547,3951.545,3951.044,3951.079,3951.014,3951.143
1722360331.876059,4754.086,5096.956,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3951.481,3951.428,3951.496,3951.491,3958.790,3958.837,3958.850,3958.818
1722360332.8900619,4818.346,5060.539,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3829.730,3829.678,3829.932,3829.810,3828.806,3828.776,3828.762,3828.826
1722360333.903851,4406.952,5018.197,1855.196,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3481.388,3481.354,3481.324,3481.358,3478.280,3478.260,3478.259,3478.248
1722360334.9178717,4418.136,4756.730,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3479.725,3479.738,3479.685,3479.761,3473.050,3473.223,3473.077,3473.070
1722360335.9321263,4394.707,4737.026,2192.196,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3473.307,3473.373,3473.398,3473.392,3479.851,3479.873,3479.856,3479.871
1722360336.946291,4485.281,4705.448,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3474.150,3474.162,3474.103,3474.224,3479.514,3479.521,3479.507,3479.457
1722360337.9599178,4464.385,4792.113,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3473.929,3473.958,3473.933,3474.025,3472.494,3472.551,3472.510,3472.495
1722360338.9738214,4531.834,4795.679,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3569.478,3569.472,3569.488,3569.496,3568.819,3568.773,3568.729,3568.787
1722360339.9878342,4381.266,4782.511,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3473.492,3473.483,3473.510,3473.503,3472.827,3472.803,3472.870,3472.921
1722360341.002124,4519.641,4683.647,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3528.025,3528.048,3528.052,3528.069,3526.088,3526.100,3526.176,3526.082
1722360342.0159302,4492.656,4768.028,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3569.250,3569.244,3569.203,3569.244,3569.860,3569.826,3569.778,3569.953
1722360343.0296605,4534.672,4763.548,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,3571.426,3571.391,3571.441,3571.541,3569.284,3569.190,3569.266,3569.252
