time,zone2_TSKN,zone0_INT3400 Thermal,zone9_x86_pkg_temp,zone7_TCPU_PCI,zone5_HTPP,zone3_CHRG,zone1_TMEM,zone8_iwlwifi_1,zone6_TCPU,zone4_AMBF
1722353907.280002,50,20000,43000,43000,24050,24050,32050,24000,36050,36050
1722353908.2948124,50,20000,44000,44000,24050,24050,32050,24000,41050,36050
1722353909.3095624,50,20000,44000,44000,24050,24050,32050,23000,43050,37050
1722353910.3242018,50,20000,60000,60000,24050,24050,32050,22000,43050,37050
1722353911.3418183,50,20000,94000,94000,24050,24050,32050,22000,58050,37050
1722353912.3569448,50,20000,97000,97000,24050,24050,32050,22000,90050,39050
1722353913.373001,50,20000,100000,100000,24050,24050,32050,22000,96050,40050
1722353914.3911076,50,20000,100000,100000,24050,24050,32050,22000,99050,41050
1722353915.4105113,50,20000,100000,101000,24050,24050,32050,22000,99050,42050
1722353916.4254687,50,20000,100000,100000,24050,24050,32050,22000,99050,42050
1722353917.440542,50,20000,100000,100000,24050,24050,32050,22000,99050,43050
1722353918.4548564,50,20000,98000,98000,24050,24050,32050,22000,99050,43050
1722353919.470556,50,20000,100000,100000,24050,24050,32050,22000,99050,44050
1722353920.4853303,50,20000,71000,71000,24050,24050,32050,22000,79050,44050
1722353921.5018718,50,20000,66000,66000,24050,24050,32050,22000,67050,44050
1722353922.5182822,50,20000,65000,65000,24050,24050,32050,22000,65050,44050
1722353923.5346036,50,20000,64000,64000,24050,24050,32050,22000,64050,43050
1722353924.5507357,50,20000,64000,64000,24050,24050,32050,22000,64050,43050
1722353925.5668626,50,20000,63000,63000,24050,24050,32050,22000,64050,43050
1722353926.5828636,50,20000,64000,64000,24050,24050,32050,24000,63050,43050
1722353927.5983121,50,20000,64000,64000,24050,24050,31050,24000,64050,43050
1722353928.614539,50,20000,64000,64000,24050,24050,31050,23000,64050,43050
1722353929.630587,50,20000,65000,65000,24050,24050,32050,22000,64050,42050
1722353930.6464005,50,20000,64000,64000,24050,24050,32050,22000,64050,42050
1722353931.6624055,50,20000,64000,65000,24050,24050,31050,22000,64050,42050
1722353932.6786425,50,20000,64000,64000,24050,24050,31050,22000,64050,42050
1722353933.6948452,50,20000,64000,64000,24050,24050,32050,22000,64050,42050
1722353934.7107399,50,20000,65000,65000,24050,24050,32050,22000,64050,42050
1722353935.7268252,50,20000,65000,65000,24050,24050,32050,22000,65050,42050
1722353936.7423193,50,20000,65000,65000,24050,24050,31050,22000,65050,42050
1722353937.758417,50,20000,65000,65000,24050,24050,31050,22000,65050,42050
1722353938.7746947,50,20000,65000,66000,24050,24050,31050,22000,65050,42050
1722353939.7908618,50,20000,65000,65000,24050,24050,31050,21000,65050,42050
1722353940.806859,50,20000,66000,66000,24050,24050,31050,22000,65050,42050
1722353941.8228612,50,20000,67000,67000,24050,24050,31050,21000,65050,42050
1722353942.8388624,50,20000,66000,66000,24050,24050,32050,21000,65050,42050
1722353943.8548434,50,20000,65000,65000,24050,24050,31050,22000,66050,43050
1722353944.8708482,50,20000,66000,66000,24050,24050,31050,21000,66050,43050
1722353945.8875582,50,20000,67000,67000,24050,24050,32050,21000,66050,43050
1722353946.9028628,50,20000,66000,66000,24050,24050,31050,21000,66050,43050
1722353947.9188614,50,20000,66000,66000,24050,24050,32050,21000,66050,43050
1722353948.934862,50,20000,67000,67000,24050,24050,32050,21000,66050,43050
1722353949.9508612,50,20000,67000,67000,24050,24050,31050,21000,67050,43050
1722353950.9668572,50,20000,66000,66000,24050,24050,31050,21000,67050,43050
1722353951.9828353,50,20000,67000,67000,24050,24050,31050,21000,67050,43050
1722353952.998747,50,20000,67000,67000,24050,24050,31050,21000,67050,43050
1722353954.0148463,50,20000,69000,67000,24050,24050,32050,21000,67050,43050
1722353955.0308647,50,20000,68000,68000,24050,24050,31050,21000,67050,43050
1722353956.0468605,50,20000,69000,69000,24050,24050,32050,24000,67050,43050
1722353957.0624392,50,20000,67000,67000,24050,24050,32050,24000,67050,43050
1722353958.0803585,50,20000,68000,68000,24050,24050,31050,24000,68050,43050
1722353959.0964339,50,20000,67000,67000,24050,24050,31050,23000,68050,43050
1722353960.1124961,50,20000,68000,68000,24050,24050,31050,22000,68050,43050
1722353961.128765,50,20000,68000,68000,24050,24050,31050,22000,68050,44050
1722353962.1446445,50,20000,69000,69000,24050,24050,32050,22000,68050,44050
1722353963.1602588,50,20000,69000,69000,24050,24050,31050,22000,69050,44050
1722353964.1764069,50,20000,69000,69000,24050,24050,32050,22000,69050,44050
1722353965.1924794,50,20000,70000,70000,24050,24050,31050,22000,69050,44050
1722353966.209111,50,20000,70000,70000,24050,24050,31050,21000,69050,44050
