time,zone2_TSKN,zone0_INT3400 Thermal,zone9_x86_pkg_temp,zone7_TCPU_PCI,zone5_HTPP,zone3_CHRG,zone1_TMEM,zone8_iwlwifi_1,zone6_TCPU,zone4_AMBF
1722370747.4965708,50,20000,60000,60000,24050,24050,32050,24000,42050,37050
1722370748.5103369,50,20000,60000,60000,24050,24050,32050,21000,59050,37050
1722370749.5236151,50,20000,60000,60000,24050,24050,32050,21000,60050,37050
1722370750.5362775,50,20000,61000,61000,24050,24050,32050,21000,60050,37050
1722370751.5498,50,20000,63000,63000,24050,24050,32050,21000,61050,37050
1722370752.5626109,50,20000,63000,63000,24050,24050,32050,21000,61050,37050
1722370753.57569,50,20000,61000,61000,24050,24050,32050,21000,61050,38050
1722370754.5884752,50,20000,61000,61000,24050,24050,32050,21000,61050,38050
1722370755.6023226,50,20000,63000,63000,24050,24050,32050,21000,62050,38050
1722370756.61555,50,20000,64000,64000,24050,24050,32050,21000,62050,38050
1722370757.629461,50,20000,63000,63000,24050,24050,32050,21000,63050,38050
1722370758.6431923,50,20000,64000,64000,24050,24050,32050,21000,62050,39050
1722370759.656143,50,20000,64000,64000,24050,24050,32050,21000,63050,39050
1722370760.6694093,50,20000,63000,63000,24050,24050,32050,21000,63050,39050
1722370761.6829734,50,20000,63000,63000,24050,24050,32050,21000,63050,39050
1722370762.6957965,50,20000,64000,64000,24050,24050,32050,21000,63050,39050
1722370763.7093267,50,20000,65000,65000,24050,24050,32050,21000,63050,39050
1722370764.722782,50,20000,65000,65000,24050,24050,32050,21000,64050,39050
1722370765.7377164,50,20000,64000,64000,24050,24050,32050,21000,64050,39050
1722370766.7525742,50,20000,63000,63000,24050,24050,32050,21000,64050,39050
1722370767.7671065,50,20000,65000,65000,24050,24050,32050,21000,65050,39050
1722370768.7822065,50,20000,65000,65000,24050,24050,32050,21000,65050,40050
1722370769.7965238,50,20000,65000,65000,24050,24050,31050,21000,65050,40050
1722370770.8110557,50,20000,65000,65000,24050,24050,32050,21000,65050,40050
1722370771.8258543,50,20000,65000,65000,24050,24050,32050,21000,65050,40050
