time,zone2_TSKN,zone0_INT3400 Thermal,zone9_x86_pkg_temp,zone7_TCPU_PCI,zone5_HTPP,zone3_CHRG,zone1_TMEM,zone8_iwlwifi_1,zone6_TCPU,zone4_AMBF
1722386737.130579,50,20000,58000,58000,27050,27050,34050,25000,51050,49050
1722386738.1452432,50,20000,57000,57000,27050,27050,35050,25000,58050,49050
1722386739.160724,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386740.176236,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722386741.1911716,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386742.206299,50,20000,59000,59000,27050,27050,34050,25000,58050,49050
1722386743.2216938,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386744.2373624,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386745.2524297,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722386746.2674322,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386747.28288,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386748.2976885,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722386749.3113973,50,20000,59000,59000,27050,27050,34050,25000,58050,49050
1722386750.3246593,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386751.338358,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386752.35142,50,20000,59000,59000,27050,27050,35050,25000,58050,49050
1722386753.364201,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386754.3781445,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386755.391365,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386756.4040413,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386757.4176266,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386758.4315856,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386759.4446142,50,20000,59000,59000,27050,27050,34050,25000,58050,49050
1722386760.4587436,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386761.4715893,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722386762.484585,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722386763.498217,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386764.511403,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386765.524119,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386766.5378563,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386767.5509143,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386768.5638733,50,20000,58000,58000,27050,27050,34050,25000,57050,49050
1722386769.5768669,50,20000,57000,57000,27050,27050,34050,25000,58050,49050
1722386770.5899246,50,20000,57000,57000,27050,27050,35050,25000,58050,49050
1722386771.6033437,50,20000,57000,57000,27050,27050,34050,25000,58050,49050
1722386772.6163945,50,20000,57000,57000,27050,27050,34050,25000,58050,49050
1722386773.6298544,50,20000,56000,56000,27050,27050,34050,25000,58050,49050
1722386774.6426558,50,20000,57000,57000,27050,27050,34050,25000,57050,49050
1722386775.6555789,50,20000,58000,58000,27050,27050,35050,25000,57050,49050
1722386776.6685667,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386777.6824236,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386778.6959765,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386779.7095687,50,20000,57000,57000,27050,27050,34050,25000,57050,49050
1722386780.7229161,50,20000,58000,58000,27050,27050,35050,25000,57050,49050
1722386781.7373405,50,20000,57000,57000,27050,27050,34050,25000,57050,49050
1722386782.7509172,50,20000,57000,57000,27050,27050,34050,25000,58050,49050
1722386783.7647243,50,20000,58000,58000,27050,27050,34050,25000,57050,49050
1722386784.7788723,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386785.7930706,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386786.8069167,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386787.8205557,50,20000,57000,57000,27050,27050,35050,25000,57050,49050
1722386788.8346374,50,20000,58000,58000,27050,27050,34050,25000,57050,49050
1722386789.848308,50,20000,58000,58000,27050,27050,35050,25000,57050,49050
1722386790.862189,50,20000,57000,57000,27050,27050,34050,25000,57050,49050
1722386791.8749158,50,20000,57000,57000,27050,27050,34050,25000,57050,49050
1722386792.8890276,50,20000,58000,58000,27050,27050,34050,25000,57050,49050
1722386793.902922,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722386794.9172869,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722386795.930919,50,20000,57000,57000,27050,27050,35050,25000,58050,49050
1722386796.9447818,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722386797.9589124,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386798.9730437,50,20000,59000,59000,27050,27050,34050,25000,58050,49050
1722386799.9869184,50,20000,57000,57000,27050,27050,34050,25000,58050,49050
1722386801.0010438,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386802.014905,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386803.0290768,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386804.042911,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386805.056536,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386806.0703344,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386807.0829108,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386808.0968869,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722386809.110846,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
