time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1722350933.387574,5100.012,5100.000,5100.000,800.000,800.000,800.000,800.000,800.000,4598.485,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,1117.930,800.000,800.000,800.000,800.000
1722350934.4014683,5099.987,5100.000,5100.000,800.000,800.000,800.000,800.000,800.000,4773.668,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,956.301,800.000,800.000,800.000,800.000
1722350935.4156694,5100.012,5100.000,5100.000,800.000,800.000,800.000,800.000,800.000,4587.200,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,941.458,800.000,800.000,800.000,800.000
1722350936.4355593,5100.012,5100.000,5081.709,800.000,4200.000,800.000,5100.000,800.000,5100.000,5099.918,5100.000,800.000,5100.000,800.000,5100.012,800.000,4099.945,4100.077,4100.185,4099.721,4100.324,4100.001,4099.972,4099.991
1722350937.45195,4799.987,4799.946,4800.000,800.000,4800.000,800.000,4800.000,800.000,4799.987,4800.000,4800.000,800.000,4800.000,800.000,4800.000,800.000,3571.151,3571.131,3571.169,3571.238,3570.954,3570.983,3570.979,3570.930
1722350938.4674675,4835.015,4854.213,4835.005,800.000,4835.001,800.000,4815.441,800.000,4835.012,4847.715,4834.989,800.000,4834.990,800.000,4834.995,800.000,3568.737,3568.897,3568.718,3568.647,3569.080,3569.018,3569.134,3569.134
1722350939.4835486,4699.964,4700.000,4700.000,800.000,4700.000,800.000,4700.000,800.000,4700.000,4700.000,4700.000,800.000,4700.000,800.000,4700.000,800.000,3571.141,3571.261,3571.139,3571.251,3570.487,3570.677,3570.673,3570.677
1722350940.4997625,4759.244,4644.880,4759.240,800.000,4759.260,800.000,4700.000,800.000,4759.252,4764.374,4759.252,800.000,4759.247,800.000,4759.255,800.000,3568.595,3568.687,3568.665,3568.706,3569.593,3569.638,3569.614,3569.583
1722350941.5161798,4663.234,4686.138,4663.217,800.000,4663.245,800.000,4663.245,800.000,4663.232,4675.810,4663.251,800.000,4663.237,800.000,4663.232,800.000,3513.231,3513.211,3513.228,3513.238,3513.074,3513.015,3513.026,3513.065
1722350942.532121,4699.988,4671.813,4700.011,800.000,4700.000,800.000,4700.000,800.000,4700.000,4700.018,4700.000,800.000,4700.000,800.000,4700.000,800.000,3475.051,3475.186,3475.028,3475.010,3480.722,3480.722,3480.719,3480.740
1722350943.5483499,4759.569,4683.580,4759.600,4698.827,4759.568,800.000,4759.560,4695.084,4759.563,4705.114,4759.550,800.000,4759.561,800.000,4759.560,800.000,3533.124,3533.002,3532.977,3532.898,3531.762,3531.778,3531.786,3531.777
1722350944.5651999,4649.172,4799.817,4649.193,800.000,4649.180,800.000,4649.186,4681.647,4649.185,4648.725,4649.177,800.000,4649.183,800.000,4649.187,800.000,3523.765,3524.005,3522.839,3523.784,3523.647,3523.762,3523.749,3523.784
1722350945.5820053,2600.000,2600.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2599.993,2600.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2226.172,2226.073,2226.081,2226.010,2225.333,2225.316,2225.326,2225.332
1722350946.5996382,2600.006,2600.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2600.006,2600.000,2600.000,800.000,2600.006,800.000,2600.000,800.000,2321.416,2321.449,2321.524,2321.457,2321.677,2321.697,2321.679,2321.650
1722350947.6162405,2600.006,2600.000,2600.000,800.000,2600.006,800.000,2599.993,800.000,2600.000,2599.982,2600.000,800.000,2600.006,800.000,2600.000,800.000,2322.351,2322.362,2322.345,2322.283,2321.501,2321.497,2321.504,2321.540
1722350948.6334655,2683.758,2700.005,2652.209,800.000,2699.993,800.000,2699.993,800.000,2700.000,2699.982,2699.993,800.000,2699.993,800.000,2700.006,800.000,2421.090,2421.113,2421.108,2421.096,2325.238,2325.224,2325.237,2325.222
