time,zone2_TSKN,zone0_INT3400 Thermal,zone9_x86_pkg_temp,zone7_TCPU_PCI,zone5_HTPP,zone3_CHRG,zone1_TMEM,zone8_iwlwifi_1,zone6_TCPU,zone4_AMBF
1722387823.6634166,50,20000,60000,60000,27050,27050,34050,25000,50050,49050
1722387824.6787202,50,20000,61000,61000,27050,27050,35050,25000,58050,49050
1722387825.6927998,50,20000,60000,60000,27050,27050,35050,25000,60050,49050
1722387826.7068608,50,20000,61000,61000,27050,27050,35050,25000,60050,49050
1722387827.7204595,50,20000,61000,61000,27050,27050,35050,25000,60050,49050
1722387828.7345505,50,20000,61000,61000,27050,27050,35050,25000,60050,49050
1722387829.7485993,50,20000,61000,61000,27050,27050,35050,27000,60050,49050
1722387830.7612634,50,20000,60000,60000,27050,27050,35050,27000,60050,49050
1722387831.7749164,50,20000,60000,60000,27050,27050,35050,25000,60050,49050
1722387832.7890196,50,20000,60000,60000,27050,27050,34050,25000,60050,49050
1722387833.8029144,50,20000,60000,60000,27050,27050,35050,25000,60050,49050
1722387834.816954,50,20000,60000,60000,27050,27050,35050,25000,60050,49050
1722387835.8309197,50,20000,60000,60000,27050,27050,35050,25000,60050,49050
1722387836.8447366,50,20000,60000,60000,27050,27050,35050,25000,60050,49050
1722387837.8589315,50,20000,60000,60000,27050,27050,35050,25000,60050,49050
1722387838.8729959,50,20000,60000,60000,27050,27050,35050,25000,60050,49050
1722387839.8865685,50,20000,60000,60000,27050,27050,35050,25000,59050,49050
1722387840.900869,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387841.9146516,50,20000,60000,60000,27050,27050,35050,25000,59050,49050
1722387842.9286385,50,20000,60000,60000,27050,27050,35050,25000,59050,49050
1722387843.942442,50,20000,58000,58000,27050,27050,34050,25000,59050,49050
1722387844.9549205,50,20000,61000,61000,27050,27050,35050,25000,60050,49050
1722387845.968802,50,20000,61000,61000,27050,27050,34050,25000,60050,49050
1722387846.9827878,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387847.9966242,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387849.0106359,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387850.0246205,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387851.0387566,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387852.05234,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387853.0664291,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387854.0799935,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387855.0939133,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387856.1079795,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387857.1215787,50,20000,60000,60000,27050,27050,35050,25000,59050,49050
1722387858.134912,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387859.1469169,50,20000,60000,60000,27050,27050,35050,27000,59050,49050
1722387860.160399,50,20000,60000,60000,27050,27050,34050,27000,59050,49050
1722387861.17413,50,20000,58000,58000,27050,27050,34050,25000,59050,49050
1722387862.1869228,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387863.2008262,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387864.2146971,50,20000,58000,58000,27050,27050,34050,25000,59050,49050
1722387865.2286923,50,20000,58000,58000,27050,27050,34050,25000,59050,49050
1722387866.2426689,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387867.2565796,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387868.2706056,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387869.2844467,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
1722387870.2987309,50,20000,60000,60000,27050,27050,34050,25000,59050,49050
