time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1722352897.5618608,5100.000,5100.000,5100.000,800.000,800.000,800.000,800.000,800.000,4591.519,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,1080.012,800.000,800.000,800.000,800.000
1722352898.576028,5100.000,5100.000,5100.000,800.000,800.000,800.000,800.000,800.000,4664.457,800.000,800.000,800.000,800.000,1126.147,800.000,800.000,800.000,800.000,800.000,1064.107,800.000,800.000,800.000,800.000
1722352899.5901475,5100.000,5100.000,5100.000,800.000,800.000,800.000,800.000,3390.100,4502.418,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,1078.914,800.000,800.000,800.000,800.000
1722352900.6099555,5100.012,5098.935,5049.343,800.000,4200.000,800.000,5100.000,5100.000,5100.000,5100.000,5100.012,800.000,4200.000,800.000,4200.000,800.000,4100.023,4099.643,4100.031,4100.006,4099.979,4100.007,4099.553,4099.891
1722352901.6265283,4793.001,4690.023,4793.022,800.000,4792.999,800.000,4792.987,4905.460,4793.007,4799.638,4792.996,800.000,4793.005,800.000,4793.001,800.000,3568.845,3568.856,3569.117,3568.814,3566.955,3566.940,3566.969,3567.040
1722352902.642693,4646.901,4600.000,4646.934,800.000,4646.898,800.000,4646.896,4621.718,4646.910,4633.972,4646.884,800.000,4646.897,800.000,4646.897,800.000,3475.342,3475.374,3475.385,3475.330,3482.156,3482.138,3482.108,3482.138
1722352903.6595445,4669.559,4676.537,4669.580,800.000,4669.537,800.000,4669.564,800.000,4669.579,4663.311,4669.586,800.000,4669.562,800.000,4669.561,800.000,3474.388,3474.420,3474.419,3474.287,3474.063,3474.114,3474.195,3474.201
1722352904.6758907,4742.581,4700.000,4742.606,800.000,4742.589,800.000,4742.573,800.000,4742.587,4744.318,4742.587,800.000,4742.592,800.000,4742.589,800.000,3520.320,3520.300,3520.344,3520.350,3516.552,3516.549,3516.814,3516.801
1722352905.6921613,4700.000,4725.821,4700.000,800.000,4700.000,800.000,4700.000,800.000,4700.000,4736.830,4700.000,800.000,4700.000,800.000,4700.000,800.000,3564.362,3564.280,3564.271,3564.561,3564.599,3564.561,3564.541,3564.683
1722352906.708451,4772.347,4609.960,4772.380,800.000,4772.360,800.000,4772.362,800.000,4772.360,4719.984,4765.984,800.000,4772.360,800.000,4772.347,800.000,3540.839,3540.891,3540.898,3540.891,3540.286,3540.309,3540.299,3540.073
