time,intel-rapl-mmio:0,intel-rapl:0
1722359054.8670835,258080698442,258080698442
1722359055.883179,258109995730,258109995730
1722359056.8995223,258138920400,258138920400
1722359057.9148524,258168089026,258168089026
1722359058.9295743,258196913293,258196913293
1722359059.9465322,258239722754,258239722754
1722359060.9618237,258313631012,258313631012
1722359061.9769528,258412232017,258412232017
1722359062.9923062,258511794751,258511794751
1722359064.007278,258611686402,258611686402
1722359065.0223012,258712487352,258712487352
1722359066.0377772,258813277377,258813277377
1722359067.052444,258914075642,258914075642
1722359068.0665019,258979810764,258979810764
1722359069.0799332,259045251820,259045251820
1722359070.0939744,259110777714,259110777714
1722359071.1074739,259176288106,259176288106
1722359072.1216106,259241733983,259241733983
1722359073.1352348,259307303761,259307303761
1722359074.149683,259372817266,259372817266
1722359075.1636178,259438454793,259438454793
1722359076.1777143,259504010594,259504010594
1722359077.1917737,259569598195,259569598195
1722359078.2058735,259635117925,259635117925
1722359079.2199218,259700836079,259700836079
1722359080.234155,259766479283,259766479283
1722359081.247966,259832068104,259832068104
1722359082.262149,259897648197,259897648197
1722359083.2756844,259963197773,259963197773
1722359084.2898138,260028832188,260028832188
1722359085.3036659,260094496876,260094496876
1722359086.3178542,260160029728,260160029728
1722359087.33149,260225735675,260225735675
1722359088.3457768,260291377536,260291377536
1722359089.359893,260357001086,260357001086
1722359090.3739278,260422624209,260422624209
1722359091.3879821,260488335894,260488335894
1722359092.4021466,260553977694,260553977694
1722359093.4158952,260619563525,260619563525
1722359094.4299645,260685249208,260685249208
1722359095.4435344,260750943315,260750943315
1722359096.457731,260816535432,260816535432
1722359097.4718535,260882275926,260882275926
1722359098.4862194,260947951844,260947951844
1722359099.4997783,261013580887,261013580887
1722359100.5140214,261079168305,261079168305
1722359101.528089,261144721665,261144721665
1722359102.542118,261210519470,261210519470
1722359103.5559378,261276144058,261276144058
1722359104.57032,261341852691,261341852691
1722359105.5836165,261407364975,261407364975
1722359106.5978007,261473062988,261473062988
1722359107.6117837,261538809584,261538809584
1722359108.6260793,261604413848,261604413848
1722359109.6401489,261670106306,261670106306
1722359110.6540751,261735678526,261735678526
1722359111.6677423,261801431043,261801431043
1722359112.682229,261867118009,261867118009
1722359113.6959836,261932684186,261932684186
1722359114.7101986,261998438779,261998438779
1722359115.7240274,262064154858,262064154858
1722359116.7382288,262129826138,262129826138
1722359117.75215,52143665,52143665
1722359118.765249,117762760,117762760
1722359119.7791808,183474872,183474872
1722359120.7933884,249110995,249110995
1722359121.807514,314822619,314822619
1722359122.8222728,380509462,380509462
1722359123.8360302,446125872,446125872
1722359124.8502014,511916902,511916902
1722359125.863956,577565538,577565538
1722359126.8784513,643343567,643343567
1722359127.8919559,708914689,708914689
1722359128.9061334,774519379,774519379
1722359129.9201462,840320785,840320785
1722359130.9342344,905981750,905981750
1722359131.947901,971683913,971683913
1722359132.9623015,1037553435,1037553435
1722359133.9762602,1103179182,1103179182
1722359134.990064,1168861692,1168861692
1722359136.00381,1234524061,1234524061
1722359137.0181718,1300197477,1300197477
1722359138.031958,1365856427,1365856427
1722359139.0461717,1431519833,1431519833
1722359140.0594635,1497209240,1497209240
1722359141.0736752,1562882107,1562882107
1722359142.0878563,1628526775,1628526775
1722359143.1020842,1694228511,1694228511
1722359144.1157458,1759824657,1759824657
1722359145.1300535,1825628199,1825628199
1722359146.1438935,1891279887,1891279887
1722359147.1579797,1957046686,1957046686
1722359148.1720495,2022680429,2022680429
1722359149.1861832,2088472741,2088472741
1722359150.1998587,2154138223,2154138223
1722359151.2143338,2219874566,2219874566
1722359152.2279668,2285504158,2285504158
1722359153.2420788,2351279075,2351279075
1722359154.2558122,2416933265,2416933265
1722359155.2699125,2482669181,2482669181
1722359156.2841647,2548479987,2548479987
1722359157.2983437,2614105307,2614105307
1722359158.3121388,2679809423,2679809423
1722359159.3263836,2745466116,2745466116
1722359160.3396428,2811132024,2811132024
1722359161.3543375,2876926717,2876926717
1722359162.3679197,2942490392,2942490392
1722359163.382169,3008158253,3008158253
1722359164.3959737,3073879398,3073879398
1722359165.4100816,3139531696,3139531696
1722359166.4240894,3205404086,3205404086
1722359167.4382133,3271022815,3271022815
1722359168.4518864,3336639224,3336639224
1722359169.4664338,3402341570,3402341570
1722359170.4800131,3468145174,3468145174
1722359171.494458,3533918748,3533918748
1722359172.5080926,3599648377,3599648377
1722359173.5221963,3665398331,3665398331
1722359174.5361526,3731095123,3731095123
1722359175.550085,3796945174,3796945174
1722359176.563793,3862668822,3862668822
1722359177.5780985,3928381789,3928381789
1722359178.5919771,3994204130,3994204130
1722359179.6060948,4059885236,4059885236
1722359180.619566,4125599118,4125599118
1722359181.633558,4191426586,4191426586
1722359182.647921,4257137478,4257137478
1722359183.6619804,4322925945,4322925945
1722359184.675907,4388599116,4388599116
1722359185.690215,4454488840,4454488840
1722359186.7038467,4520060633,4520060633
1722359187.7175272,4585820108,4585820108
1722359188.7318342,4651568536,4651568536
1722359189.746925,4717423714,4717423714
1722359190.761557,4783060387,4783060387
1722359191.775893,4848804725,4848804725
1722359192.789907,4914569205,4914569205
1722359193.8038998,4980181708,4980181708
1722359194.8183787,5046120931,5046120931
1722359195.8317268,5111696935,5111696935
1722359196.8459117,5177407949,5177407949
1722359197.859936,5243061223,5243061223
1722359198.8738832,5308776997,5308776997
1722359199.8878927,5374441868,5374441868
1722359200.9023526,5440334339,5440334339
1722359201.916075,5505967227,5505967227
1722359202.9300177,5571732196,5571732196
1722359203.9441376,5637427340,5637427340
1722359204.9587147,5703251207,5703251207
1722359205.9735513,5768936342,5768936342
1722359206.9877753,5834670976,5834670976
1722359208.002432,5900423066,5900423066
1722359209.0161676,5966046921,5966046921
1722359210.0299706,6031741516,6031741516
1722359211.0435686,6097457962,6097457962
1722359212.0579479,6163142303,6163142303
1722359213.0721147,6228801192,6228801192
1722359214.0858672,6294479979,6294479979
1722359215.0998523,6360203078,6360203078
1722359216.114315,6425852263,6425852263
1722359217.128067,6491538130,6491538130
1722359218.142129,6557200498,6557200498
1722359219.1558292,6622842298,6622842298
1722359220.1701515,6688554898,6688554898
1722359221.1835988,6754284771,6754284771
1722359222.197693,6819942074,6819942074
1722359223.2118568,6885586010,6885586010
1722359224.226385,6951275783,6951275783
1722359225.2399619,7016915142,7016915142
1722359226.2537322,7082624507,7082624507
1722359227.2679625,7148327281,7148327281
1722359228.2822556,7214092554,7214092554
1722359229.295294,7279693644,7279693644
1722359230.3099277,7345393732,7345393732
1722359231.323966,7411125985,7411125985
1722359232.3382468,7476779260,7476779260
1722359233.3520048,7542371438,7542371438
1722359234.3663082,7607997918,7607997918
1722359235.3795702,7673594857,7673594857
1722359236.393776,7739315880,7739315880
1722359237.4079685,7804957924,7804957924
1722359238.4221427,7870626823,7870626823
1722359239.4349213,7936233345,7936233345
1722359240.4495645,8001884788,8001884788
1722359241.4631464,8067552589,8067552589
1722359242.477582,8133200919,8133200919
1722359243.4917605,8198942450,8198942450
1722359244.5055275,8264445334,8264445334
1722359245.5192893,8330171179,8330171179
1722359246.5335069,8395879812,8395879812
1722359247.5478718,8461617437,8461617437
1722359248.562186,8527331685,8527331685
1722359249.5751173,8592970982,8592970982
1722359250.5891871,8658513234,8658513234
1722359251.6030452,8724277043,8724277043
1722359252.6173613,8789952412,8789952412
1722359253.6318688,8855671360,8855671360
1722359254.6460998,8921319385,8921319385
1722359255.6596944,8986968387,8986968387
1722359256.6736867,9052649188,9052649188
1722359257.687869,9118423006,9118423006
1722359258.702031,9184000719,9184000719
1722359259.7154932,9249628481,9249628481
1722359260.7296154,9315262651,9315262651
1722359261.7436173,9381110810,9381110810
1722359262.7576337,9446712388,9446712388
1722359263.7713377,9512309266,9512384278
1722359264.7855284,9578068863,9578068863
1722359265.799381,9643694611,9643694611
1722359266.8128302,9709361618,9709361618
1722359267.826968,9775104003,9775104003
1722359268.8413827,9840720779,9840720779
1722359269.8558214,9906496184,9906496184
1722359270.8700812,9972061202,9972061202
1722359271.8835647,10037800108,10037800108
1722359272.8977194,10103468092,10103468092
1722359273.91186,10169220304,10169220304
1722359274.926014,10234953046,10234953046
1722359275.9395628,10300641049,10300641049
1722359276.954133,10366405102,10366405102
1722359277.9680338,10432048245,10432048245
1722359278.9821744,10497789653,10497789653
1722359279.9957273,10563443172,10563443172
1722359281.0093493,10629147960,10629147960
1722359282.023392,10694718593,10694718593
1722359283.0374856,10760540263,10760540263
1722359284.0516229,10826233759,10826233759
1722359285.0654094,10891892893,10891892893
1722359286.079743,10957568750,10957568750
1722359287.0941973,11023315652,11023315652
1722359288.1079605,11089012932,11089012932
1722359289.1222866,11154583809,11154583809
1722359290.1353734,11220240074,11220240074
1722359291.1500208,11285959022,11285959022
1722359292.1637602,11351634758,11351634758
1722359293.1779008,11417388923,11417388923
1722359294.1917653,11483055991,11483055991
1722359295.2054894,11548764746,11548764746
1722359296.2196877,11614455130,11614455130
1722359297.2337344,11680118902,11680118902
1722359298.2477875,11745802816,11745802816
1722359299.2622244,11811585973,11811585973
1722359300.2751312,11877130422,11877210316
1722359301.2885544,11942862187,11942862187
1722359302.302081,12008505635,12008505635
1722359303.3158596,12074295139,12074295139
1722359304.3298252,12139930164,12139930164
1722359305.343595,12205675296,12205675296
1722359306.3579957,12271420367,12271420367
1722359307.372204,12337229463,12337229463
1722359308.386292,12402970506,12402970506
1722359309.399915,12468625367,12468625367
1722359310.4144747,12534418595,12534418595
1722359311.4277606,12600046723,12600046723
1722359312.4417005,12665933822,12665933822
1722359313.455836,12731636901,12731636901
1722359314.47026,12797386916,12797386916
1722359315.4841816,12863175078,12863175078
1722359316.4982123,12928914106,12928914106
1722359317.5115716,12994646238,12994646238
1722359318.5259104,13060351392,13060351392
1722359319.539688,13126086453,13126086453
1722359320.553761,13191794231,13191794231
1722359321.5681353,13257543819,13257543819
1722359322.582168,13323260509,13323260509
1722359323.5955944,13388994654,13388994654
1722359324.6100647,13454685282,13454685282
1722359325.623702,13520355585,13520355585
1722359326.6381469,13586094064,13586094064
1722359327.6515522,13651736902,13651736902
1722359328.6659207,13717405435,13717405435
1722359329.6792085,13783054131,13783054131
1722359330.694237,13848705636,13848705636
1722359331.7076416,13914414635,13914414635
1722359332.7218454,13980129982,13980129982
1722359333.735996,14045767143,14045767143
1722359334.7497141,14111522224,14111522224
1722359335.7636552,14177272666,14177272666
1722359336.7777267,14243008825,14243008825
1722359337.7920187,14308728872,14308728872
1722359338.8057702,14374339727,14374339727
1722359339.819813,14440024312,14440024312
1722359340.8342557,14505808385,14505808385
1722359341.847866,14571391224,14571391224
1722359342.8620667,14637124088,14637124088
