time,zone2_TSKN,zone0_INT3400 Thermal,zone9_x86_pkg_temp,zone7_TCPU_PCI,zone5_HTPP,zone3_CHRG,zone1_TMEM,zone8_iwlwifi_1,zone6_TCPU,zone4_AMBF
1722350452.183315,50,20000,51000,51000,24050,25050,32050,25000,36050,36050
1722350453.1978388,50,20000,52000,52000,24050,25050,32050,22000,48050,37050
1722350454.2124717,50,20000,52000,52000,24050,25050,32050,22000,51050,37050
1722350455.2269783,50,20000,60000,60000,24050,25050,32050,22000,52050,37050
1722350456.2484853,50,20000,81000,81000,24050,25050,32050,22000,63050,38050
1722350457.2650156,50,20000,87000,87000,24050,25050,32050,22000,82050,39050
1722350458.2814403,50,20000,90000,90000,24050,25050,32050,22000,88050,40050
1722350459.2974665,50,20000,94000,94000,24050,25050,32050,22000,90050,41050
1722350460.3138578,50,20000,95000,95000,24050,25050,32050,22000,93050,42050
1722350461.3306775,50,20000,97000,97000,24050,25050,32050,22000,94050,43050
1722350462.3473868,50,20000,99000,99000,24050,25050,32050,22000,97050,44050
1722350463.364569,50,20000,99000,99000,24050,25050,32050,22000,98050,45050
1722350464.3812265,50,20000,69000,69000,24050,24050,32050,22000,99050,46050
1722350465.398278,50,20000,65000,65000,24050,24050,32050,22000,70050,45050
1722350466.4151304,50,20000,62000,62000,24050,25050,32050,22000,65050,45050
1722350467.4317079,50,20000,62000,62000,24050,25050,32050,22000,63050,45050
1722350468.4482145,50,20000,62000,62000,24050,24050,32050,22000,62050,44050
1722350469.4649367,50,20000,62000,62000,24050,25050,32050,22000,62050,44050
1722350470.481201,50,20000,61000,61000,24050,24050,32050,22000,62050,44050
1722350471.4977794,50,20000,63000,63000,24050,25050,32050,22000,62050,43050
1722350472.514371,50,20000,62000,62000,24050,25050,32050,22000,62050,43050
1722350473.5320864,50,20000,62000,62000,24050,25050,32050,22000,62050,43050
1722350474.5484924,50,20000,63000,63000,24050,25050,32050,22000,62050,43050
1722350475.5650122,50,20000,62000,62000,24050,24050,32050,22000,62050,43050
1722350476.5815556,50,20000,63000,63000,24050,24050,32050,22000,62050,43050
1722350477.598443,50,20000,63000,63000,24050,25050,32050,22000,62050,43050
1722350478.6153824,50,20000,63000,63000,24050,24050,32050,22000,62050,43050
1722350479.6319234,50,20000,62000,62000,24050,24050,32050,22000,63050,43050
1722350480.6486256,50,20000,63000,63000,24050,24050,32050,22000,63050,43050
1722350481.6651683,50,20000,63000,63000,24050,25050,32050,22000,63050,43050
