time,intel-rapl-mmio:0,intel-rapl:0
1722371550.448112,166152154422,166152190249
1722371551.4630764,166191131739,166191131739
1722371552.4777884,166230145128,166230145128
1722371553.4925423,166269153207,166269153207
1722371554.507425,166308111298,166308111298
1722371555.522488,166347284232,166347284232
1722371556.5377183,166386601942,166386601942
1722371557.5526226,166425766942,166425766942
1722371558.5670352,166465244868,166465244868
1722371559.5818102,166504720292,166504720292
1722371560.5967984,166544500707,166544500707
1722371561.6111355,166584349055,166584349055
1722371562.626074,166624295425,166624295425
1722371563.6405995,166664163670,166664163670
1722371564.6554804,166703825800,166703825800
1722371565.6706026,166743932082,166743932082
1722371566.6843922,166783942111,166783942111
1722371567.6990848,166823985649,166823985649
1722371568.7137794,166863933483,166863933483
1722371569.728102,166904034394,166904034394
1722371570.7432916,166944312001,166944312001
1722371571.757928,166984768501,166984768501
1722371572.7725484,167025141323,167025141323
1722371573.7876372,167065700301,167065700301
1722371574.8020036,167106174563,167106174563
1722371575.8167675,167146735860,167146735860
1722371576.8317888,167187311440,167187311440
1722371577.8462546,167227776973,167227776973
1722371578.8609257,167268322341,167268322341
1722371579.8753068,167308809908,167308809908
1722371580.8903635,167349302541,167349302541
1722371581.9050946,167389396982,167389396982
1722371582.9196415,167429632109,167429632109
1722371583.9345953,167470198167,167470198167
1722371584.9492042,167510714909,167510714909
1722371585.9640622,167551302085,167551302085
1722371586.9790604,167591927714,167591927714
1722371587.9942539,167632580136,167632580136
1722371589.0087426,167673176468,167673176468
1722371590.0229003,167713713351,167713713351
1722371591.037596,167754263480,167754263480
1722371592.0525222,167794871408,167794871408
1722371593.0668335,167835534146,167835534146
1722371594.0810833,167876225387,167876225387
1722371595.0958605,167916926454,167916926454
1722371596.11014,167957602131,167957602131
1722371597.1249242,167998285133,167998285133
1722371598.1394002,168039022211,168039022211
1722371599.1544058,168079879467,168079879467
1722371600.1692216,168120634978,168120634978
1722371601.1838658,168161374071,168161374071
1722371602.1988504,168202175175,168202175175
1722371603.2136,168242918418,168242918418
1722371604.2285042,168283733132,168283733132
1722371605.2432969,168324551448,168324551448
1722371606.258211,168365385755,168365385755
1722371607.2728982,168406225800,168406225800
1722371608.287478,168447038928,168447038928
1722371609.3025723,168487887517,168487887517
1722371610.3167403,168528716331,168528716331
1722371611.3316689,168569526285,168569526285
1722371612.3462152,168610355648,168610355648
1722371613.3609912,168651157241,168651157241
1722371614.3753262,168692011323,168692011323
1722371615.389876,168732916614,168732916614
1722371616.4046674,168773829961,168773829961
1722371617.419753,168814710899,168814710899
1722371618.434589,168855611124,168855611124
1722371619.4497392,168896503536,168896503536
1722371620.4646616,168937358473,168937358473
1722371621.4797966,168978270112,168978270112
1722371622.4942265,169019115710,169019115710
1722371623.5091941,169060035588,169060035588
1722371624.5242732,169101518209,169101518209
1722371625.539035,169142662269,169142662269
1722371626.553493,169183719171,169183719171
1722371627.568156,169224814586,169224814586
1722371628.582946,169265889493,169265889493
1722371629.5976696,169306829695,169306829695
1722371630.612676,169347862549,169347862549
1722371631.6274762,169388891497,169388891497
1722371632.6421885,169429940892,169429940892
1722371633.6568868,169470922720,169470922720
1722371634.6717582,169511956978,169511956978
1722371635.6865973,169552943140,169552943140
1722371636.7008786,169593946880,169593946880
1722371637.7157307,169634968443,169634968443
1722371638.7305129,169676107498,169676107498
1722371639.7449136,169717149202,169717149202
1722371640.7595234,169758223437,169758223437
1722371641.774629,169799255315,169799255315
1722371642.7893946,169840582785,169840582785
1722371643.8040478,169881646950,169881646950
1722371644.8187108,169922556757,169922556757
1722371645.8325863,169963705883,169963705883
1722371646.847139,170004805509,170004805509
1722371647.860958,170045843001,170045843001
1722371648.8756309,170086866517,170086866517
1722371649.8908722,170127948870,170127948870
1722371650.9042537,170169042454,170169042454
1722371651.9180777,170210146170,170210146170
1722371652.9323604,170249462109,170249462109
1722371653.9465384,170290401152,170290401152
1722371654.9610143,170331520920,170331520920
1722371655.975764,170372582765,170372582765
1722371656.9908252,170413444905,170413444905
1722371658.005482,170454411413,170454411413
1722371659.0200276,170495303704,170495303704
1722371660.034855,170536371531,170536371531
1722371661.0499318,170577431179,170577431179
1722371662.064376,170618520551,170618520551
1722371663.0794792,170659648620,170659648620
1722371664.0945036,170700740129,170700740129
1722371665.1094337,170741764804,170741764804
1722371666.1239371,170782822560,170782822560
1722371667.1385565,170823935614,170823935614
1722371668.1533587,170865077293,170865077293
1722371669.1682708,170906295266,170906295266
1722371670.1827471,170947389827,170947389827
1722371671.1972718,170988552380,170988552380
1722371672.2115233,171029681242,171029681242
1722371673.2262037,171070828476,171070828476
1722371674.2416258,171111902284,171111902284
1722371675.2564325,171153091632,171153091632
1722371676.269579,171206988344,171206988344
1722371677.2846746,171425606559,171425606559
1722371678.297524,171606831193,171606831193
1722371679.3100834,171773975601,171774152359
1722371680.3251376,171983054656,171983054656
1722371681.3383331,172153409750,172153409750
1722371682.3518736,172235062006,172235062006
1722371683.367991,172302118292,172302118292
1722371684.3840969,172367685202,172367685202
1722371685.3983443,172431754984,172431754984
1722371686.411416,172497345087,172497345087
1722371687.427164,172563183664,172563183664
1722371688.4430187,172630335347,172630335347
1722371689.4572396,172694620705,172694620705
1722371690.4710908,172760221123,172760221123
1722371691.4849553,172826005257,172826005257
1722371692.5011837,172893359576,172893359576
1722371693.5175238,172959231295,172959231295
1722371694.5315218,173023559560,173023559560
1722371695.5454485,173089399846,173089399846
1722371696.5615015,173156817459,173156817459
1722371697.5774558,173222691619,173222691619
1722371698.5917163,173287020678,173287020678
1722371699.6053436,173352916750,173352916750
1722371700.6213863,173420408032,173420408032
1722371701.6375206,173486304897,173486304897
1722371702.651589,173550650618,173550650618
1722371703.6654804,173616576292,173616576292
1722371704.681504,173683992379,173683992379
1722371705.6977057,173750046653,173750046653
1722371706.7108982,173814352580,173814352580
1722371707.7241557,173880216730,173880216730
1722371708.739342,173945857431,173945857431
1722371709.7551565,174013532490,174013532490
1722371710.770693,174078471777,174078471777
1722371711.7843306,174143740165,174143740165
1722371712.799761,174209219977,174209219977
1722371713.8156068,174277492264,174277492264
1722371714.8297029,174341874057,174341874057
1722371715.843392,174407808275,174407808275
1722371716.8573241,174473346865,174473346865
1722371717.873321,174541030407,174541030407
1722371718.8876708,174605767546,174605767546
1722371719.9012222,174671453779,174671453779
1722371720.9158328,174737486020,174737486020
1722371721.931963,174804946968,174804946968
1722371722.9475346,174869995874,174869995874
1722371723.961905,174935344888,174935344888
1722371724.9756737,175001302117,175001302117
1722371725.9917283,175068668949,175068668949
1722371727.0063677,175133969014,175133969014
1722371728.0202963,175199055334,175199055334
1722371729.033863,175265005666,175265005666
1722371730.0499175,175332358643,175332358643
1722371731.0646684,175397655167,175397655167
1722371732.0784717,175462767183,175462767183
1722371733.0925388,175528730027,175528730027
1722371734.108362,175596042843,175596042843
1722371735.1221728,175660964308,175660964308
1722371736.1359384,175726489653,175726489653
1722371737.1505353,175792511517,175792511517
1722371738.1664975,175859775811,175859775811
1722371739.1808295,175924479258,175924479258
1722371740.1945066,175990226160,175990226160
1722371741.2082899,176055660990,176055660990
1722371742.224455,176123636707,176123636707
1722371743.238731,176188053718,176188053718
1722371744.2525153,176253941305,176253941305
1722371745.2673635,176320314671,176320314671
1722371746.2833147,176387408493,176387408493
1722371747.297186,176451755069,176451755069
1722371748.3111637,176517722002,176517722002
1722371749.3271484,176585105130,176585105130
1722371750.343285,176651219036,176651219036
1722371751.3577204,176715666564,176715666564
1722371752.3709729,176781557569,176781557569
1722371753.3871446,176848970788,176848970788
1722371754.403288,176915046791,176915046791
1722371755.4174047,176979440058,176979440058
1722371756.4312093,177045395761,177045395761
1722371757.4469352,177112845906,177112845906
1722371758.463194,177178902683,177178902683
1722371759.477419,177243321341,177243321341
1722371760.491357,177309279546,177309279546
1722371761.507229,177376688553,177376688553
1722371762.5220022,177441695223,177441695223
1722371763.5356648,177507053393,177507053393
1722371764.5493202,177572471743,177572471743
1722371765.5655525,177640447033,177640447033
1722371766.579808,177704856780,177704856780
1722371767.5935936,177770767195,177770767195
1722371768.6094444,177838180902,177838180902
1722371769.6254082,177904285774,177904285774
1722371770.6397765,177968679042,177968679042
1722371771.6533866,178034629374,178034629374
1722371772.669467,178102122243,178102122243
1722371773.685645,178168084049,178168084049
1722371774.7005563,178232774435,178232774435
1722371775.7167132,178300042635,178300042635
1722371776.733112,178366212082,178366212082
1722371777.7488487,178431164064,178431164064
1722371778.7640002,178497701186,178497701186
1722371779.780322,178564203824,178564203824
1722371780.7961884,178629335920,178629335920
1722371781.8119926,178695605953,178695605953
1722371782.8279216,178762226876,178762226876
1722371783.8429432,178827102748,178827102748
1722371784.8561373,178890972091,178890972091
1722371785.8721173,178960160452,178960160452
1722371786.8875663,179024910957,179024910957
1722371787.902297,179090328820,179090328820
1722371788.9182215,179158012789,179158012789
1722371789.9337454,179223000355,179223000355
1722371790.947125,179286957161,179286957161
1722371791.9628286,179355911758,179355911758
1722371792.9786112,179420900971,179420900971
1722371793.9928586,179485777148,179485777148
1722371795.009058,179553886349,179553886349
1722371796.0245905,179618724928,179618724928
1722371797.0388646,179683698455,179683698455
1722371798.0548701,179751806069,179751856972
1722371799.070597,179816849299,179816849299
1722371800.0866332,179883627387,179883627387
1722371801.1028774,179949874349,179949874349
1722371802.118066,180014696692,180014696692
1722371803.1338646,180081337513,180081337513
1722371804.1499603,180147955323,180147955323
1722371805.1658344,180212955340,180212955340
1722371806.1819394,180279859039,180279859039
1722371807.1981194,180346035322,180346035322
1722371808.2137358,180410922790,180410922790
1722371809.2293324,180477983898,180477983898
1722371810.2457547,180544030787,180544030787
1722371811.2605073,180608610699,180608610699
1722371812.2767518,180676008049,180676008049
1722371813.2911983,180741164742,180741164742
1722371814.3050916,180806039393,180806039393
1722371815.321012,180873875462,180873875462
1722371816.3365078,180938547233,180938547233
1722371817.3499105,181003326425,181003326425
1722371818.3660543,181071573748,181071573748
1722371819.3816326,181136568271,181136568271
1722371820.3978457,181203529464,181203529464
1722371821.414069,181269781675,181269781675
1722371822.4297366,181334922133,181334922133
1722371823.4456408,181401810573,181401810573
1722371824.4619417,181467862528,181467862528
1722371825.476519,181530931580,181530931580
1722371826.4923403,181599881172,181599881172
1722371827.5076342,181664498621,181664498621
1722371828.521939,181729824443,181729824443
1722371829.5378695,181797743519,181797743519
1722371830.5536153,181862925726,181862925726
1722371831.5696106,181929755938,181929755938
1722371832.585852,181995803864,181995803864
1722371833.6003041,182059807241,182059807241
1722371834.6163635,182127819518,182127819518
1722371835.6315165,182192448686,182192448686
1722371836.6453865,182257092990,182257092990
1722371837.66145,182325744243,182325744243
1722371838.6771173,182390547605,182390547605
1722371839.693321,182457649484,182457649484
1722371840.7095687,182523816001,182523816001
1722371841.724114,182588365214,182588365214
1722371842.7394423,182655791189,182655791189
1722371843.75478,182720495124,182720495124
1722371844.768751,182785520166,182785520166
1722371845.784763,182853611666,182853611666
1722371846.799415,182918501454,182918501454
1722371847.815582,182985601440,182985601440
1722371848.8319201,183051648146,183051648146
1722371849.8472662,183114338232,183114338232
1722371850.8630319,183183623333,183183623333
1722371851.8773985,183248400633,183248400633
1722371852.893368,183315520518,183315520518
1722371853.909618,183381661218,183381661218
1722371854.923784,183444703170,183444703170
1722371855.9397647,183513618704,183513618704
1722371856.9554236,183578461251,183578461251
1722371857.9711795,183644739340,183644739340
1722371858.9872766,183711651217,183711651217
1722371860.0010912,183775742972,183775742972
1722371861.0170186,183843448671,183843448671
1722371862.0320153,183908346026,183908346026
1722371863.0458426,183973342564,183973342564
1722371864.061729,184041350325,184041350325
1722371865.0772896,184106205810,184106205810
1722371866.093212,184173410228,184173410228
1722371867.1082082,184238228544,184238228544
1722371868.1225042,184303671919,184303671919
1722371869.138404,184371360710,184371412529
1722371870.1540885,184436420358,184436420358
1722371871.1702359,184503309408,184503309408
1722371872.1857417,184568278175,184568278175
1722371873.2018209,184635263233,184635263233
1722371874.2178082,184701360110,184701360110
1722371875.231943,184764168909,184764168909
1722371876.2477915,184833360809,184833360809
1722371877.2633562,184898250719,184898250719
1722371878.2793298,184965398069,184965398069
1722371879.2950594,185030141861,185030141861
1722371880.311159,185097209377,185097209377
1722371881.3273008,185163485269,185163485269
1722371882.3423328,185226254213,185226254213
1722371883.3584003,185295528205,185295528205
1722371884.3731585,185360384790,185360384790
1722371885.3891728,185427391271,185427391271
1722371886.4049275,185492523062,185492523062
1722371887.4211214,185559480899,185559480899
1722371888.4360676,185624481953,185624481953
1722371889.4501367,185689434118,185689434118
1722371890.466092,185757335434,185757335434
1722371891.4805567,185820459479,185820459479
1722371892.4965436,185889378186,185889378186
1722371893.5118227,185954276458,185954276458
1722371894.5281966,186021319804,186021319804
1722371895.543832,186086443112,186086443112
1722371896.5598552,186153322640,186153405465
1722371897.5752635,186217685696,186217685696
1722371898.591256,186285237097,186285237097
1722371899.6073964,186351401418,186351401418
1722371900.6217647,186415498116,186415498116
1722371901.6376295,186483347430,186483347430
1722371902.6521795,186546253153,186546253153
1722371903.6680264,186615376328,186615376328
1722371904.6824434,186679416142,186679416142
1722371905.6981862,186747251784,186747251784
1722371906.7140126,186812481902,186812481902
1722371907.7302077,186879263470,186879263470
1722371908.745267,186944177305,186944177305
1722371909.7612884,187011248422,187011248422
1722371910.776978,187076404078,187076404078
1722371911.793276,187143333411,187143333411
1722371912.8074186,187208165948,187208165948
1722371913.8232281,187275378544,187275378544
1722371914.8393803,187340082358,187340082358
1722371915.855469,187407293551,187407293551
1722371916.8700964,187471987782,187471987782
1722371917.8860214,187539109071,187539109071
1722371918.901285,187604236589,187604236589
1722371919.9173265,187671156218,187671156218
1722371920.9324493,187736080185,187736080185
1722371921.948503,187803056942,187803056942
1722371922.9637158,187868135084,187868135084
1722371923.9798217,187935152002,187935152002
1722371924.9945257,187999889080,187999889080
1722371926.0103142,188067155448,188067155448
1722371927.0252469,188131878549,188131878549
1722371928.0414095,188199167378,188199167378
1722371929.0570695,188264038733,188264038733
1722371930.0730588,188331194384,188331194384
1722371931.0882263,188396075444,188396075444
1722371932.1041682,188463219803,188463219803
1722371933.1191895,188528131990,188528131990
1722371934.135164,188595182112,188595182112
1722371935.1509879,188660394103,188660394103
1722371936.1670654,188727256297,188727324474
1722371937.1808898,188791480987,188791523650
1722371938.196438,188859244180,188859244180
1722371939.21096,188922217224,188922217224
1722371940.226919,188991067573,188991067573
1722371941.2413588,189055259852,189055259852
1722371942.2564962,189122862340,189122862340
1722371943.272233,189188960071,189188960071
1722371944.2876916,189253893865,189253893865
